,Handset Type,Average Throughput (kbps)
349,Huawei E8372,29095.0
350,Huawei Ele-L29,4907.724952818628
351,Huawei Evr-Al00,707.3333333333334
352,Huawei Evr-L29,39.0
353,Huawei Fig-Al00,13444.875
354,Huawei Fig-Al10,3394.5
355,Huawei Fig-La1,41.5
356,Huawei Fig-Lx1,3396.9009825781195
357,Huawei Frd-Al10,6166.0
358,Huawei Frd-L09,9285.172620092593
359,Huawei Frd-L19,10628.0
360,Huawei G535-L11,1052.0
361,Huawei G8 Huawei Gx8 Huawei G7 Plus,3616.5
362,Huawei Gr5,7013.0
363,Huawei Gr5 2017 Huawei Mate 9 Lite,12657.0
364,Huawei Ham-L09,28.5
365,Huawei Hma-L29,8914.259853513957
366,Huawei Honor,11069.338235294117
367,Huawei Honor 10,5619.072412265625
368,Huawei Honor 5X,9324.388888888889
369,Huawei Honor 6,20033.0
370,Huawei Honor 6C Dig-L21Hn,11601.5
371,Huawei Honor 6X,9705.230358083334
372,Huawei Honor 7A,6188.648684210526
373,Huawei Honor 7S,6896.579166666667
374,Huawei Honor 7X,3714.90963625
375,Huawei Honor 8 Lite,10669.5
376,Huawei Honor 8X,5033.852201019108
377,Huawei Honor 9 Lite,3000.372555575
378,Huawei Honor View10,7216.252192982455
379,Huawei Hry-Lx1,4287.0625
380,Huawei Hwi-Al00,32640.5
381,Huawei Ine-Lx1,3033.876025
382,Huawei Jat-L29,3309.3125
383,Huawei Jkm-Lx1,9137.0
384,Huawei Jmm-L22 Honor 6C Pro Honor 6C Pro,5711.9
385,Huawei Jsn-Al00A,15681.0
386,Huawei Lld-Al00,4673.022727272727
387,Huawei Lld-Al10,199.625
388,Huawei Lld-Al30,123.5
389,Huawei Lnd-L29,16901.25
390,Huawei Lya-L29,6311.147907025989
391,Huawei Maimang 6,13257.0
392,Huawei Mate 10 Lite Huawei Nova 2I,5602.364445793467
393,Huawei Mate 10 Pro,3790.3470370512823
394,Huawei Mate 10 Pro Porsche Design Huawei Mate 10,5899.52462377561
395,Huawei Mate 20 Lite,5198.724855972222
396,Huawei Mate 8,7917.444444444444
397,Huawei Mate 9,3875.8494753359173
398,Huawei Mate 9 Pro Porsche Design Huawei Mate 9,59.5
399,Huawei Maya,2455.0
400,Huawei Me909S-120,697.375
401,Huawei Mrd-Lx1,2685.3592592592595
402,Huawei Mu609,23.0
403,Huawei Nexus 6P,240.0
404,Huawei Nova,11090.096331587301
405,Huawei Nova 2I Huawei Mate 10 Lite,23830.5
406,Huawei Nova 3E,7241.398148148148
407,Huawei Nova 3I,1968.25
408,Huawei Nova 3I Huawei P Smart+,14172.0
409,Huawei P Smart,4882.673076923077
410,Huawei P10,4729.278487655771
411,Huawei P10 Lite,4320.767335637497
412,Huawei P10 Plus,4087.0625
413,Huawei P20,5429.3817873222
414,Huawei P20 Lite Huawei Nova 3E,3584.879511166024
415,Huawei P20 Pro,5772.585766107306
416,Huawei P8,13163.0
417,Huawei P8 Lite,7622.74258357368
418,Huawei P8Max,15920.5
419,Huawei P9,4757.726511792453
420,Huawei P9 Lite,7218.710831156648
421,Huawei P9 Plus,28459.0
422,Huawei Par-Lx9,24019.166666666668
423,Huawei Pct-L29,4990.564909481482
424,Huawei Pele,39190.5
425,Huawei Plk-L01,11044.171875
426,Huawei Porsche Design Huawei Mate Rs,36.5
427,Huawei Pot-Lx1,3686.3815542398793
428,Huawei Pra-Al00X,105.0
429,Huawei Rvl-Al09,9836.0
430,Huawei Sla-L22,4656.5
431,Huawei Sne-Lx1,6206.474341055556
432,Huawei Stf-Al00,4771.392857142857
433,Huawei Stf-Al10,39.75
434,Huawei Stf-L09,5224.979106304348
435,Huawei Stf-Tl10,22628.5
436,Huawei Tbd,2696.7430555555557
437,Huawei Tit-Al00 Huawei Y6 Pro,6157.0
438,Huawei U8815,185.0
439,Huawei U8825-1,41.0
440,Huawei Vns-Al00,923.5
441,Huawei Vns-Dl00,22571.5
442,Huawei Vog-L29,5704.230471401515
443,Huawei Was-Al00,12355.583333333334
444,Huawei Was-Tl10,1856.25
445,Huawei Y3,616.35
446,Huawei Y3Ii,4342.5
447,Huawei Y5,1305.3
448,Huawei Y5 2017,17892.25
